id;booking_id;user_id;amount;currency;payment_method;status;transaction_id;payment_gateway_response;created_at;updated_at
54abdf36-5ead-47ca-a168-c57c517d7b7c;a14da563-5e64-4f42-9801-351448b03b05;5d049018-76b7-4d0c-9597-24032b1cde96;19150.37;whoa needily;oh er;FAILED;accentuate task;../fake-data/blob/hipster.txt;2025-08-30T12:42:52;2025-08-31T09:05:01
d2eb3e09-47c5-4885-aca6-0212170ae360;b6ed52e9-3784-4a8c-a215-1675359d7bde;1cdac4ab-ff80-4288-b72d-a8d4e83b6891;2081.33;toothpick putrid;frivolous bleakly;FAILED;insidious;../fake-data/blob/hipster.txt;2025-08-30T23:05:18;2025-08-31T03:32:09
92d1e70a-a8f0-429a-9649-cfa14d6a5f78;a7eedb16-177f-43f3-9e82-a3803ead9a7a;05f890b3-ecc0-4bec-b394-d84e5c197371;951.84;shark greedily pish;furthermore unconscious;FAILED;once below fairly;../fake-data/blob/hipster.txt;2025-08-31T00:50:27;2025-08-30T21:38:57
aa96435b-f70f-41d7-90c2-5e7e047c163f;24a67f3f-6b86-48d5-966c-516587461153;6c4d0826-3a52-4d06-8d1d-cbb4e92990fa;18801.79;splurge;helplessly;PENDING;however loosely where;../fake-data/blob/hipster.txt;2025-08-30T13:39:16;2025-08-30T19:10:05
73e11102-9bc0-4ecd-97d3-3f85d4858664;1dcc66d2-8765-4f44-a76c-d17bb14fab32;f1817912-c4e6-4ef2-91df-ea89ac7c9e6d;5652.06;hunt lean;saloon for;COMPLETED;whenever;../fake-data/blob/hipster.txt;2025-08-30T13:53:14;2025-08-31T03:37:59
8ca9ca1e-7036-4b87-9263-605411c5cdde;cbd53c11-2b9a-4453-950f-c746bab30b04;12671378-1364-4ebd-8422-abcbd3f83af4;18655.16;oh;aw;REFUNDED;yet help;../fake-data/blob/hipster.txt;2025-08-30T18:30:54;2025-08-30T18:30:06
f61dd998-cb37-4af9-b746-9d7143784073;dd84c8de-897f-4b22-ba8c-2ef6a34d4571;648f47a5-3769-4ad0-9e4c-b78963bede53;5400.11;queasily;garage fall reward;COMPLETED;mould lox;../fake-data/blob/hipster.txt;2025-08-30T22:43:27;2025-08-31T03:00:46
2d2c5614-ce94-4134-8294-b26221829170;5abf8a59-444f-4e07-a5d4-1537d39a8bc9;b11b13c7-59da-4534-8919-b99771368100;14225.99;ripe livid;friendly;REFUNDED;substitution like;../fake-data/blob/hipster.txt;2025-08-31T08:56:59;2025-08-31T00:09:50
493b71c5-7abc-4d54-9103-cc2881c10058;234f3913-3397-47c5-a706-8f17ac2a4da7;7f4782ec-c02f-40fa-a8ce-96693346ddb4;21246.56;jittery lecture brr;furthermore tarry rubric;COMPLETED;foot yet depend;../fake-data/blob/hipster.txt;2025-08-31T01:13:50;2025-08-30T20:51:26
6efca639-3f7f-46f9-b64f-1399d8584692;0f2fa7b8-e600-4d7e-99d7-724450e89a67;964147a9-a650-46b4-ad02-61f49015c64b;12913.48;rebound;supposing phew tough;PENDING;pulverize quickly;../fake-data/blob/hipster.txt;2025-08-31T03:34:44;2025-08-31T05:12:11
