id;promotion_id;created_at;updated_at;is_deleted;deleted_at;deleted_by
1;1500;2025-11-03T22:58:33.136133072;;false;;00000000-0000-0000-0000-000000000000
2;1501;2025-11-03T22:58:33.139054609;;false;;00000000-0000-0000-0000-000000000000
3;1502;2025-11-03T22:58:33.139163225;;false;;00000000-0000-0000-0000-000000000000
4;1503;2025-11-03T22:58:33.139197230;;false;;00000000-0000-0000-0000-000000000000
5;1504;2025-11-03T22:58:33.139227878;;false;;00000000-0000-0000-0000-000000000000
6;1505;2025-11-03T22:58:33.139271101;;false;;00000000-0000-0000-0000-000000000000
7;1506;2025-11-03T22:58:33.139340262;;false;;00000000-0000-0000-0000-000000000000
8;1507;2025-11-03T22:58:33.139383494;;false;;00000000-0000-0000-0000-000000000000
9;1508;2025-11-03T22:58:33.139416297;;false;;00000000-0000-0000-0000-000000000000
10;1509;2025-11-03T22:58:33.139448929;;false;;00000000-0000-0000-0000-000000000000
