id;percent;max_off;min_price;created_at;updated_at;is_deleted;deleted_at;deleted_by;promotion_id
1;31;28968.62;100000.00;2025-08-30T19:12:41;2025-09-02T02:12:41;false;;NULL;8
2;33;2581.46;100000.00;2025-09-06T00:52:13;2025-09-07T10:52:13;false;;NULL;2
3;34;41176.56;100000.00;2025-09-10T06:40:17;2025-09-12T11:40:17;false;;NULL;13
4;41;19255.71;100000.00;2025-09-03T20:02:26;2025-09-04T10:02:26;false;;NULL;6
5;22;33665.78;100000.00;2025-09-07T15:01:22;2025-09-08T09:01:22;false;;NULL;7
6;10;46765.24;100000.00;2025-09-01T00:18:58;2025-09-02T22:18:58;false;;NULL;5
7;52;20729.01;100000.00;2025-08-30T15:31:56;2025-09-01T13:31:56;false;;NULL;9
8;34;28583.10;100000.00;2025-09-08T17:57:19;2025-09-10T00:57:19;false;;NULL;17
9;18;11038.73;100000.00;2025-09-26T02:33:07;2025-09-28T07:33:07;false;;NULL;11
10;16;31833.09;100000.00;2025-09-09T09:42:42;2025-09-09T09:42:42;false;;NULL;12
11;27;13566.30;100000.00;2025-10-03T17:05:39;2025-10-03T23:05:39;true;2025-09-17T13:18:53;ac2fc8b0-b5e6-4328-b0ff-5089ea534fca;16
12;29;43442.56;100000.00;2025-08-29T00:20:15;2025-08-31T09:20:15;false;;NULL;20
