id;schedule_id;seat_number;seat_type;price;status;reserved_until;created_at;updated_at
d9b79c2d-f2aa-4798-98da-28862aa4d6f1;c3ecc5d6-d19b-4718-9188-34b1736e4725;hype carpool;ECONOMY;819.86;EXPIRED;2025-08-29T19:44:25;2025-08-29T21:29:23;2025-08-29T06:23:26
6ceb95e5-c1a9-4559-a9d3-c52108637ab6;155803f8-eb2e-4b23-a882-ce8195c7138d;but square scope;ECONOMY;30027.99;AVAILABLE;2025-08-29T15:29:09;2025-08-29T23:26:45;2025-08-29T10:46:36
5e8caa52-9165-427f-8bd3-a3a25fc656af;234ff6c1-505a-4582-ab22-c8473c5c7c7c;dally;VIP;21093.29;CANCELLED;2025-08-29T12:13:34;2025-08-29T02:52:41;2025-08-29T20:07:14
8c34b05a-e5f7-4780-a85b-c880369842c5;40aba4b2-1727-45f2-8c4c-c18e52256bde;if;BUSINESS;26321.39;AVAILABLE;2025-08-29T09:19:31;2025-08-29T22:08:50;2025-08-29T09:48:35
020c4486-40b0-4b59-b8a8-c902a3645d09;e1daa0f2-3606-4f3f-a99f-af44bd74ce14;unnecessarily out athwart;FIRST_CLASS;11306.67;EXPIRED;2025-08-29T23:50:14;2025-08-29T09:36:08;2025-08-29T10:35:48
17505336-0305-49fa-a5d2-42e45d702120;bbccb536-dd49-47ff-8241-64da6f0b6860;lest legend whenever;FIRST_CLASS;28246.78;BOOKED;2025-08-29T12:13:30;2025-08-29T10:48:46;2025-08-29T09:25:39
bdfe32b5-9440-4f18-bc64-193790619498;98ddffce-661c-4875-9fc8-9c23c4c9bcfa;given misread epic;FIRST_CLASS;24219.05;EXPIRED;2025-08-29T00:39:31;2025-08-29T05:53:55;2025-08-29T04:44:00
51967d5c-02e8-4ebf-86aa-10efb3259db1;fa350ea9-28e2-4ddc-8b09-cb2b6f42f6fc;ugh demonstrate;BUSINESS;17717.99;BOOKED;2025-08-29T04:04:40;2025-08-29T02:50:17;2025-08-29T16:21:54
1b1a6b01-367c-4211-8b2a-188621f51d4d;78be488c-d299-40b6-997c-9b6d2cd135d8;sad stool;BUSINESS;10226.13;EXPIRED;2025-08-29T12:22:07;2025-08-29T23:23:11;2025-08-29T19:25:15
aac5ba75-ff52-4af3-aaa6-f0f034d2347e;0b5b204c-d12f-4fc7-965f-759c7fb54a54;what providence sympathetically;ECONOMY;28079.72;CANCELLED;2025-08-29T16:14:13;2025-08-29T15:16:08;2025-08-29T14:21:17
