id;route_code;distance_km;base_fare;created_at;updated_at;is_deleted;deleted_at;deleted_by;origin_id;destination_id
1000;BUBNGBNHDN_BCLIUBCLIU;;184.81;2025-10-07 18:47:44;;false;;\N;1503;1600
1001;NGHIQUNGBN_BINHANGNAI;;182.75;2025-10-07 18:47:44;;false;;\N;1506;1507
1002;QUNGTRCHQU_BUNMATHUTK;;198.04;2025-10-07 18:47:44;;false;;\N;1506;1508
1003;SIGN_CHUTHNHSCT;;;2025-10-07 18:47:44;;false;;\N;1504;1571
1004;BTRCHQUNGB_HLONGQUNGN;;201.81;2025-10-07 18:47:44;;false;;\N;1506;1509
1005;QUNGTRCHQU_HMTNBNHTHU;;200.21;2025-10-07 18:47:44;;false;;\N;1506;1511
1006;BTRCHQUNGB_GIALCHIDNG;;196.09;2025-10-07 18:47:44;;false;;\N;1506;1513
1007;BNXECLINH_SIGN;;;2025-10-07 18:47:44;;false;;\N;1637;1549
1008;QUNGTRCHQU_QUYNHNBNHN;;201.55;2025-10-07 18:47:44;;false;;\N;1506;1514
1009;BNXECLINH_SIGN_A;;;2025-10-07 18:47:44;;false;;\N;1637;1550
1010;QUNGTRCHQU_QUNGNGIQUN;;190.90;2025-10-07 18:47:44;;false;;\N;1506;1515
1011;BNTREBNTRE_NGXOIBNHPH;;185.33;2025-10-07 18:47:44;;false;;\N;1505;1547
1012;NGHIQUNGBN_THIBNHTHIB;;190.15;2025-10-07 18:47:44;;false;;\N;1506;1516
1013;SIGN_THINGUYNTH;;;2025-10-07 18:47:44;;false;;\N;1504;1578
1014;BNXEBATRI_SIGN;;;2025-10-07 18:47:44;;false;;\N;1505;1549
1015;BNXEBATRI_SIGN_A;;;2025-10-07 18:47:44;;false;;\N;1505;1550
1016;BTRCHQUNGB_CTHIHIPHNG;;193.36;2025-10-07 18:47:44;;false;;\N;1506;1519
1017;BNXEANSNG_TNCHU;;179.41;2025-10-07 18:47:44;;false;;\N;1504;1584
1018;BNXECLINH_SIGN_B;;;2025-10-07 18:47:44;;false;;\N;1637;1558
1019;NGHIQUNGBN_HNI;;194.48;2025-10-07 18:47:44;;false;;\N;1506;1524
1020;QUNGTRCHQU_GIANGHAKNN;;195.64;2025-10-07 18:47:44;;false;;\N;1506;1525
1021;SIGN_GDUTYNINH;;;2025-10-07 18:47:44;;false;;\N;1504;1588
1022;NGHIQUNGBN_NAMNHNAMNH;;187.62;2025-10-07 18:47:44;;false;;\N;1506;1526
1023;BNXEBATRI_SIGN_B;;;2025-10-07 18:47:44;;false;;\N;1505;1558
1024;NGHIQUNGBN_CHUTHNHTIN;;189.63;2025-10-07 18:47:44;;false;;\N;1506;1527
1025;SIGN_PHLHNAM;;;2025-10-07 18:47:44;;false;;\N;1504;1591
1026;NGHIQUNGBN_HTNHHTNH;;190.22;2025-10-07 18:47:44;;false;;\N;1506;1530
1027;BINHANGNAI_PHMBRAVNGT;;191.83;2025-10-07 18:47:44;;false;;\N;1507;1500
1028;BTRCHQUNGB_HNGYNHNGYN;;200.76;2025-10-07 18:47:44;;false;;\N;1506;1532
1029;BINHANGNAI_CIRNGCNTH;;183.90;2025-10-07 18:47:44;;false;;\N;1507;1502
1030;QUNGTRCHQU_LTLMNG;;201.19;2025-10-07 18:47:44;;false;;\N;1506;1533
