id,floor_id,seat_no,row_no,col_no,price_factor,seat_type,created_at,updated_at,is_deleted,deleted_at,deleted_by
1500,1500,1A01,1,1,1.000,NORMAL,2025-10-26 20:32:54,,false,,
1501,1500,1A02,1,2,1.000,NORMAL,2025-10-26 20:32:54,,false,,
1502,1500,1A03,1,3,1.000,NORMAL,2025-10-26 20:32:54,,false,,
1503,1500,1A04,1,4,1.000,NORMAL,2025-10-26 20:32:54,,false,,
1504,1500,1B01,2,1,1.000,NORMAL,2025-10-26 20:32:54,,false,,
1505,1500,1B02,2,2,1.000,NORMAL,2025-10-26 20:32:54,,false,,
1506,1500,1B03,2,3,1.000,NORMAL,2025-10-26 20:32:54,,false,,
1507,1500,1B04,2,4,1.000,NORMAL,2025-10-26 20:32:54,,false,,
1508,1500,1C01,3,1,1.000,NORMAL,2025-10-26 20:32:54,,false,,
1509,1500,1C02,3,2,1.000,NORMAL,2025-10-26 20:32:54,,false,,
1510,1500,1C03,3,3,1.000,NORMAL,2025-10-26 20:32:54,,false,,
1511,1500,1C04,3,4,1.000,NORMAL,2025-10-26 20:32:54,,false,,
1512,1500,1D01,4,1,1.000,NORMAL,2025-10-26 20:32:54,,false,,
1513,1500,1D02,4,2,1.000,NORMAL,2025-10-26 20:32:54,,false,,
1514,1500,1D03,4,3,1.000,NORMAL,2025-10-26 20:32:54,,false,,
1515,1500,1D04,4,4,1.000,NORMAL,2025-10-26 20:32:54,,false,,
1516,1500,1E01,5,1,1.000,NORMAL,2025-10-26 20:32:54,,false,,
1517,1500,1E02,5,2,1.000,NORMAL,2025-10-26 20:32:54,,false,,
1518,1501,2A01,1,1,1.000,NORMAL,2025-10-26 20:32:54,,false,,
1519,1501,2A02,1,2,1.000,NORMAL,2025-10-26 20:32:54,,false,,
1520,1501,2A03,1,3,1.000,NORMAL,2025-10-26 20:32:54,,false,,
1521,1501,2A04,1,4,1.000,NORMAL,2025-10-26 20:32:54,,false,,
1522,1501,2B01,2,1,1.000,NORMAL,2025-10-26 20:32:54,,false,,
1523,1501,2B02,2,2,1.000,NORMAL,2025-10-26 20:32:54,,false,,
1524,1501,2B03,2,3,1.000,NORMAL,2025-10-26 20:32:54,,false,,
1525,1501,2B04,2,4,1.000,NORMAL,2025-10-26 20:32:54,,false,,
1526,1501,2C01,3,1,1.000,NORMAL,2025-10-26 20:32:54,,false,,
1527,1501,2C02,3,2,1.000,NORMAL,2025-10-26 20:32:54,,false,,
1528,1501,2C03,3,3,1.000,NORMAL,2025-10-26 20:32:54,,false,,
1529,1501,2C04,3,4,1.000,NORMAL,2025-10-26 20:32:54,,false,,
1530,1501,2D01,4,1,1.000,NORMAL,2025-10-26 20:32:54,,false,,
1531,1501,2D02,4,2,1.000,NORMAL,2025-10-26 20:32:54,,false,,
1532,1501,2D03,4,3,1.000,NORMAL,2025-10-26 20:32:54,,false,,
