id;recipient_id;type;title;message;is_read;related_entity_type;related_entity_id;created_at;scheduled_at
971c5e91-77f9-46df-875b-2fb9d174f986;2476ff10-1a55-487a-89c6-be06053f35a9;fooey weight;evil suffocate;../fake-data/blob/hipster.txt;false;sadly fluff;9c096d18-86b4-4640-ada6-e180983e4fe5;2025-08-30T16:26:30;2025-08-30T10:41:17
5749224e-9229-4767-81f8-e16627e0c236;e0fdabe6-6f5d-4b62-aeed-5319de540c22;gulp;unfortunately trek;../fake-data/blob/hipster.txt;false;masticate necessary;c999b104-853d-4e65-a5d2-7a230d4a22e2;2025-08-31T02:47:47;2025-08-30T11:01:19
96e7dd31-bcb7-418b-a1d9-99436078d825;4576d960-7c45-4652-a5ac-fe399f0dbb8d;eyebrow brief;majestically;../fake-data/blob/hipster.txt;false;that and;3f5e3aed-e498-4ec9-8f7c-b83bbf3eeb98;2025-08-31T04:50:21;2025-08-31T01:18:15
dcc67fb2-8a7d-4d01-bb02-40bc6f110a6a;225ae109-63ae-4dbd-af84-e36171349d40;boastfully vaguely geez;incidentally puppet;../fake-data/blob/hipster.txt;false;mobility;1d9cff9e-523f-4dba-9bcb-8004dcc13642;2025-08-31T07:23:27;2025-08-30T13:59:14
62c14340-2a47-44f6-9859-af7b23049228;e6a36e51-549f-411e-b131-914cbe1f09f5;downshift;vainly;../fake-data/blob/hipster.txt;true;impossible overload;b9d69026-cc45-49fd-9082-2b8deed3912a;2025-08-30T20:07:05;2025-08-30T21:14:17
17ab3e04-1135-43c4-b1cc-edddfcdb5e31;71afc6e2-b71f-4ffc-a448-03390443de92;immense even;rationale so;../fake-data/blob/hipster.txt;false;too;7997e4d9-df32-481f-a3ce-bebe17ed23a6;2025-08-30T11:25:32;2025-08-30T13:41:38
142788a8-7a15-47ee-882a-eafb59779e88;8b8e59ff-d248-40cb-9e4c-096a585dec5c;blah;consequently whether consistency;../fake-data/blob/hipster.txt;true;opposite geez;15c3de25-37d5-44f3-ba42-b9b0b783a2b9;2025-08-30T12:43:43;2025-08-30T22:24:31
35f3e676-8f51-48da-977c-a9903aebc662;2ac489df-ed0b-47e6-acbb-e2433db9ea85;gosh obnoxiously simple;meaty ready;../fake-data/blob/hipster.txt;true;developing;08ad7380-c31d-461c-9d67-6b5034ab148b;2025-08-30T15:34:25;2025-08-30T23:57:50
473318ef-c0d4-4523-879f-9b51fb7e8fd4;537dbbd3-b68f-438a-bb14-f3ac8670d69f;proselytise consequently swiftly;and outset metabolise;../fake-data/blob/hipster.txt;false;but what;aa529eac-6bcf-421e-a2b7-d465cfd0e62e;2025-08-31T05:35:36;2025-08-31T03:50:17
b985adb2-422b-4b51-9ef5-3c1b072b24c0;932aad81-0e51-4bc2-988f-ce1a31d02a36;on immediately;wallop reopen when;../fake-data/blob/hipster.txt;false;taut fiddle;3c2d3bbb-fcc2-4bd5-b054-7c3c3d87d027;2025-08-30T19:14:33;2025-08-30T22:16:39
